domain,subject,selection_reason,selection_note,slice,slice_selection_method,crop_x_lo,crop_x_hi,crop_y_lo,crop_y_hi,baseline_filtered_dice,level0_filtered_dice,dice_delta,baseline_filtered_hd95_mm,level0_filtered_hd95_mm,hd95_delta_mm,spacing_x_mm,spacing_y_mm,spacing_z_mm,figure_path
Mouse,POLYIC_20190517_mouse37__E3_P1,largest_dice_improvement,Largest Mouse Dice gain (level0 - baseline) of all 80 test subjects.,1,max baseline-vs-level0 disagreement (756 voxels) among slices with >=1052 expert voxels,103,172,111,187,0.9612160431979566,0.9684207766414363,0.007204733443479716,0.28990586430124177,0.2109375,-0.07896836430124177,0.0703125,0.0703125,0.3000001907348633,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/visual_comparison_atlas/mouse/largest_dice_improvement_POLYIC_20190517_mouse37__E3_P1.png
Mouse,POLYIC_20190510_mouse37__E2_P1,median_dice_improvement,Subject whose Dice change is closest to the Mouse-wide median change.,1,max baseline-vs-level0 disagreement (214 voxels) among slices with >=557 expert voxels,56,128,74,136,0.9719678572459316,0.975099882296381,0.003132025050449405,0.20000000298023224,0.14142135834465194,-0.058578644635580296,0.10000000149011612,0.10000000149011612,0.3999997675418854,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/visual_comparison_atlas/mouse/median_dice_improvement_POLYIC_20190510_mouse37__E2_P1.png
Mouse,POLYIC_20190510_mouse43__E2_P1_1,smallest_improvement,Smallest non-negative Dice change among Mouse subjects (near-flat case).,0,max baseline-vs-level0 disagreement (595 voxels) among slices with >=568 expert voxels,32,150,86,166,0.9607624505559536,0.9608483799002724,8.592934431883581e-05,0.22360680108197992,0.20000000298023224,-0.023606798101747678,0.10000000149011612,0.10000000149011612,0.4000000059604645,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/visual_comparison_atlas/mouse/smallest_improvement_POLYIC_20190510_mouse43__E2_P1_1.png
Mouse,POLYIC_20190510_mouse43__E9_P1,regression,One of the two Mouse subjects (of 80) where level0 Dice is lower than baseline.,1,max baseline-vs-level0 disagreement (415 voxels) among slices with >=559 expert voxels,48,133,86,158,0.9527066337955657,0.9501225800997548,-0.0025840536958109395,0.3999999463558197,0.3999999463558197,0.0,0.10000000149011612,0.10000000149011612,0.3999999463558197,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/visual_comparison_atlas/mouse/regression_POLYIC_20190510_mouse43__E9_P1.png
Mouse,POLYIC_20190629_polyic_mo__E3_P1_1,largest_hd95_improvement,Largest reduction in HD95 (mm) from baseline to level0.,2,max baseline-vs-level0 disagreement (301 voxels) among slices with >=531 expert voxels,65,115,67,141,0.9650897226753671,0.9705414996006883,0.005451776925321172,0.360555132919089,0.20000000298023224,-0.1605551299388568,0.10000000149011612,0.10000000149011612,0.40000009536743164,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/visual_comparison_atlas/mouse/largest_hd95_improvement_POLYIC_20190629_polyic_mo__E3_P1_1.png
Mouse,POLYIC_20190629_polyic_mo__E4_P1_4,high_curvature_improvement,High expert-boundary complexity (direction changes/100 steps) with a positive Dice change.,7,max baseline-vs-level0 disagreement (163 voxels) among slices with >=523 expert voxels,40,139,71,143,0.9728804343208639,0.975058157865585,0.002177723544721122,0.14142135834465194,0.10000000149011612,-0.041421356854535823,0.10000000149011612,0.10000000149011612,0.39999961853027344,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/visual_comparison_atlas/mouse/high_curvature_improvement_POLYIC_20190629_polyic_mo__E4_P1_4.png
Mouse,POLYIC_20190517_mouse39__E12_P1,previously_pixelated,Highest baseline axis-run/expert-axis-run ratio (most staircase-like baseline contour) among Mouse subjects.,13,max baseline-vs-level0 disagreement (488 voxels) among slices with >=1057 expert voxels,56,206,129,226,0.9668420912739547,0.9710232256077557,0.004181134333800962,0.22234764798058917,0.2109375,-0.011410147980589175,0.0703125,0.0703125,0.3000001907348633,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/visual_comparison_atlas/mouse/previously_pixelated_POLYIC_20190517_mouse39__E12_P1.png
Mouse,POLYIC_20190517_mouse37__E3_P1,lobe_separation_or_concavity,"Automated whole-mask convex-hull-solidity scan of all 80 Mouse subjects' saved masks found this the only case where the expert shape is genuinely non-convex (solidity<0.85) and level0's solidity (0.887) is measurably closer to the expert's (0.833) than the baseline's is (0.945). This coincides with the largest-Dice-improvement case above -- it is the same subject, shown again because it is also the clearest concavity example, not a distinct pick.",1,forced (concavity scan slice),103,172,111,187,0.9612160431979566,0.9684207766414363,0.007204733443479716,0.28990586430124177,0.2109375,-0.07896836430124177,0.0703125,0.0703125,0.3000001907348633,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/visual_comparison_atlas/mouse/lobe_separation_or_concavity_POLYIC_20190517_mouse37__E3_P1.png
CAMRI,007,camri_representative,"CAMRI subject whose Dice change is closest to the CAMRI-wide median change (typical case, n=6).",1,max baseline-vs-level0 disagreement (327 voxels) among slices with >=1414 expert voxels,44,216,87,210,0.9861910044061033,0.9857284276522026,-0.00046257675390071196,0.10000000149011612,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,1.0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/visual_comparison_atlas/camri/camri_representative_007.png
CAMRI,099,camri_worst_difference,CAMRI subject with the largest-magnitude Dice change (either direction) between the two models.,1,max baseline-vs-level0 disagreement (355 voxels) among slices with >=1520 expert voxels,32,220,67,187,0.9866694057565827,0.9876404747862463,0.000971069029663596,0.10000000149011612,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,1.0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/visual_comparison_atlas/camri/camri_worst_difference_099.png
