slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.29707927677329626,0.17445279320483503,2527,0,2527,534,first 20%,True,True
1,0.5811250581125058,0.40956749672346004,1802,0,1802,1250,first 20%,True,True
2,0.7646958011996572,0.6190344062153164,1354,19,1373,2250,first 20%,True,True
3,0.7867711053089643,0.648493543758967,1365,105,1470,2817,first 20%,True,True
4,0.7900450092666137,0.6529540481400438,1376,210,1586,3194,first 20%,True,True
5,0.7976717702138428,0.663439275941907,1337,262,1599,3414,first 20%,True,True
6,0.784480719186184,0.6453873102374464,1374,448,1822,3764,first 20%,True,True
7,0.7844318313448395,0.6453211358871737,1468,393,1861,3779,middle 60%,True,True
8,0.8126286890871655,0.684393063583815,1462,176,1638,3728,middle 60%,True,True
9,0.8078671883261076,0.6776654248713855,1723,94,1817,3914,middle 60%,True,True
10,0.8249228625460336,0.7020159241063866,1654,105,1759,4249,middle 60%,True,True
11,0.8513565891472868,0.7411844103256284,1417,117,1534,4510,middle 60%,True,True
12,0.8564894225271584,0.749,1442,64,1506,4558,middle 60%,True,True
13,0.8817807706696595,0.7885580461692874,1224,40,1264,4754,middle 60%,True,True
14,0.877588085724664,0.7818770226537217,1320,28,1348,4860,middle 60%,True,True
15,0.8896867426622386,0.8012934518997574,1206,23,1229,4979,middle 60%,True,True
16,0.8991753125831338,0.8168197196713388,1116,21,1137,5091,middle 60%,True,True
17,0.9215103181039921,0.8544451871657754,833,38,871,5151,middle 60%,True,True
18,0.9375057694082894,0.8823631624674196,640,37,677,5115,middle 60%,True,True
19,0.953954910202522,0.9119634703196347,425,57,482,5050,middle 60%,True,True
20,0.9579307568438004,0.919258257678192,351,67,418,4826,middle 60%,True,True
21,0.9621598639455783,0.9270790659565752,282,74,356,4600,middle 60%,True,True
22,0.9531232602160116,0.9104445862582429,382,39,421,4319,middle 60%,True,True
23,0.9477806788511749,0.9007444168734491,393,47,440,4040,middle 60%,True,True
24,0.9018840225103988,0.821301247771836,774,28,802,3714,middle 60%,True,True
25,0.9041388518024032,0.8250487329434698,657,61,718,3447,middle 60%,True,True
26,0.926040061633282,0.8622668579626973,411,69,480,3074,middle 60%,True,True
27,0.9029456193353474,0.8230636833046472,416,98,514,2489,middle 60%,True,True
28,0.8296261239943209,0.7088556409219572,661,59,720,1812,middle 60%,True,True
29,0.8206987475280159,0.6959195081050866,488,56,544,1301,middle 60%,True,True
30,0.8459507042253521,0.7330282227307399,327,23,350,984,last 20%,True,True
31,0.8784965034965035,0.7833203429462198,208,70,278,1075,last 20%,True,True
32,0.9245283018867925,0.8596491228070176,34,118,152,1049,last 20%,True,True
33,0.8959537572254336,0.8115183246073299,40,140,180,915,last 20%,True,True
34,0.8397626112759644,0.7237851662404092,71,145,216,711,last 20%,True,True
35,0.7904642409033877,0.6535269709543569,54,113,167,428,last 20%,True,True
36,0.7484276729559748,0.5979899497487438,24,56,80,175,last 20%,True,True
37,1.0,1.0,0,0,0,0,empty expert,False,False
