slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.39415719916531416,0.24545192030031765,2613,0,2613,850,first 20%,True,True
1,0.5743657042869641,0.4028843203436637,1946,0,1946,1313,first 20%,True,True
2,0.7439204126750184,0.5922557934878263,1390,0,1390,2019,first 20%,True,True
3,0.8002996254681648,0.6670829170829171,1325,8,1333,2679,first 20%,True,True
4,0.8484934621944287,0.7368550975067885,1000,66,1066,3051,first 20%,True,True
5,0.8524848803576124,0.7428964252978918,1031,91,1122,3333,first 20%,True,True
6,0.8371526084836665,0.719916142557652,1057,279,1336,3713,first 20%,True,True
7,0.8424468212955174,0.727782392026578,1016,295,1311,3800,middle 60%,True,True
8,0.8176847004072135,0.6915961424916355,1413,154,1567,3668,middle 60%,True,True
9,0.85199344620426,0.7421503330161751,1308,47,1355,3947,middle 60%,True,True
10,0.8495593151656368,0.7384642479746389,1423,62,1485,4255,middle 60%,True,True
11,0.8527131782945736,0.7432432432432432,1439,81,1520,4481,middle 60%,True,True
12,0.8665109761793555,0.7644634910169771,1354,75,1429,4713,middle 60%,True,True
13,0.8830519074421513,0.7905935050391937,1227,82,1309,5024,middle 60%,True,True
14,0.8912126537785588,0.8037723886511333,1151,87,1238,5158,middle 60%,True,True
15,0.900663407821229,0.8192790217563919,1057,81,1138,5240,middle 60%,True,True
16,0.9146986253084244,0.842806105878532,882,86,968,5276,middle 60%,True,True
17,0.9284684684684684,0.866487304523289,708,86,794,5239,middle 60%,True,True
18,0.9234540997003541,0.8577935222672065,773,70,843,5155,middle 60%,True,True
19,0.9138672768878718,0.8413955840215742,870,71,941,5063,middle 60%,True,True
20,0.8920539730134932,0.8051420838971584,1072,80,1152,4840,middle 60%,True,True
21,0.8739316239316239,0.7760910815939279,1212,86,1298,4585,middle 60%,True,True
22,0.8613810741687979,0.756513926325247,1261,94,1355,4304,middle 60%,True,True
23,0.8635816650257083,0.7599152868694647,1165,82,1247,4029,middle 60%,True,True
24,0.8601841884941993,0.7546694648478489,1097,72,1169,3668,middle 60%,True,True
25,0.8591083476650351,0.7530148423005566,985,80,1065,3327,middle 60%,True,True
26,0.8664474714263347,0.7643646408839779,768,85,853,2852,middle 60%,True,True
27,0.8618895116092874,0.7572986282096377,579,111,690,2264,middle 60%,True,True
28,0.8540015341344924,0.7452030343596608,498,73,571,1743,middle 60%,True,True
29,0.8612099644128114,0.75625,326,64,390,1274,last 20%,True,True
30,0.8934154429180483,0.8073630136986302,199,26,225,969,last 20%,True,True
31,0.9345613184682501,0.8771610555050046,45,90,135,1054,last 20%,True,True
32,0.8850512682137075,0.7938044530493708,39,174,213,994,last 20%,True,True
33,0.8508946322067594,0.740484429065744,21,204,225,846,last 20%,True,True
34,0.7645951035781544,0.6189024390243902,31,219,250,625,last 20%,True,True
35,0.6717267552182163,0.5057142857142857,41,132,173,309,last 20%,True,True
36,1.0,1.0,0,0,0,0,empty expert,False,False
37,1.0,1.0,0,0,0,0,empty expert,False,False
